District,Categories,Place,Latitude,Longitude
Kottayam,place,Akalakunnam,9.6342254,76.6585978
Kottayam,place,Anikkadu,9.6020115,76.694754
Kottayam,place,Arpookara,9.6309193,76.5054652
Kottayam,place,Athirampuzha,9.6679,76.5329523
Kottayam,place,Ayarkunnam,9.6356597,76.6062668
Kottayam,place,Aymanam,9.6146543,76.4935553
Kottayam,place,Bharananganam,9.69945,76.7249943
Kottayam,place,Changanacherry,9.4464941,76.5402167
Kottayam,place,Cheruvalley,9.5185726,76.7625073
Kottayam,place,Chethipuzha,9.4618582,76.548161
Kottayam,place,Chempu,9.8128173,76.39122
Kottayam,place,Chengalam(E),9.6170909,76.7076768
Kottayam,place,Chengalam(S),9.6170909,76.7076768
Kottayam,place,Chirakadavu,9.542879,76.7719514
Kottayam,place,Edakkunnam,9.5429509,76.8447571
Kottayam,place,Elakkadu,9.5915668,76.5221531
Kottayam,place,Elamkulam,9.5915668,76.5221531
Kottayam,place,Elikulam,9.6288756,76.7307663
Kottayam,place,Erattupetta,9.6858101,76.7751473
Kottayam,place,Erumely(N),9.4696082,76.9432309
Kottayam,place,Erumely(S),9.4810562,76.8450521
Kottayam,place,Ettumanoor,9.670626,76.557882
Kottayam,place,Kadaplamattom,9.7159826,76.6087776
Kottayam,place,Kadanadu,9.5915668,76.5221531
Kottayam,place,Kaduthuruthy,9.7679448,76.4907353
Kottayam,place,Kallara,9.705957,76.4765519
Kottayam,place,Kanakkary,9.702435,76.5477283
Kottayam,place,Kangazha,9.5159085,76.6932438
Kottayam,place,Kanjirappally,9.5594567,76.787355
Kottayam,place,Kaipuzha,9.6690065,76.5054652
Kottayam,place,Karukachal,9.5016425,76.6399664
Kottayam,place,Kidangoor,9.6821084,76.6079933
Kottayam,place,Koottickal,9.587152,76.8850816
Kottayam,place,Koovappally,9.5425371,76.8201976
Kottayam,place,Koruthodu,9.4825213,76.958545
Kottayam,place,Kooroppada,9.5985166,76.6499348
Kottayam,place,Kothanalloor,9.7189243,76.5285913
Kottayam,place,Kulasekharamangalam,9.5915668,76.5221531
Kottayam,place,Kuravilangadu,9.757589,76.5610256
Kottayam,place,Kurichithanam,9.7723745,76.6051666
Kottayam,place,Kurichy,9.5031142,76.5304713
Kottayam,place,Lalam,9.7549695,76.6816962
Kottayam,place,Madappally,9.4698242,76.5901793
Kottayam,place,Manarcadu,9.598099,76.5860112
Kottayam,place,Manimala,9.4948608,76.7466378
Kottayam,place,Manjoor,9.7359907,76.5126925
Kottayam,place,Meenachil,9.7057204,76.6976843
Kottayam,place,Meenadom,9.5512655,76.6161187
Kottayam,place,Melukavu,9.7974851,76.7657531
Kottayam,place,Monippally,9.8079628,76.5748309
Kottayam,place,Mundakayam,9.5370591,76.8864391
Kottayam,place,Muttambalam,9.5742231,76.5502682
Kottayam,place,Muttuchira,9.7554405,76.5059382
Kottayam,place,Naduvila,9.7580877,76.4187059
Kottayam,place,Nedumkunnam,9.5078332,76.6600415
Kottayam,place,Nattakom,9.5555441,76.5135698
Kottayam,place,Njeezhoor,9.7917102,76.5264234
Kottayam,place,Onamthuruthu,9.6827284,76.5083562
Kottayam,place,Pampady,9.5656567,76.6441591
Kottayam,place,Panachicadu,9.5367768,76.5503394
Kottayam,place,Paippadu,9.4221721,76.5863882
Kottayam,place,Peroor,9.6443134,76.5690519
Kottayam,place,Perumpaicadu,9.6184367,76.5313061
Kottayam,place,Poovarany,9.6663149,76.7134496
Kottayam,place,Puthuppally,9.5653317,76.5661622
Kottayam,place,Poonjar,9.6727475,76.8086617
Kottayam,place,Poonjar Nadubhagam,9.6773717,76.857682
Kottayam,place,Poonjar Thekkekara,9.6518505,76.8317325
Kottayam,place,Puliyannoor,9.7045429,76.6626404
Kottayam,place,Ramapuram,9.8005152,76.6614853
Kottayam,place,Thalanadu,9.7264958,76.8081666
Kottayam,place,Thalappalam,9.7067054,76.7711626
Kottayam,place,Thalayazham,9.7121535,76.4273844
Kottayam,place,Thiruvarppu,9.5616989,76.4736602
Kottayam,place,Thottakkadu,9.5314649,76.6037222
Kottayam,place,Theekoy,9.7028303,76.8115458
Kottayam,place,TV Puram,9.5915668,76.5221531
Kottayam,place,Udhayanapuram,9.5915668,76.5221531
Kottayam,place,Uzhavoor,9.7875389,76.6094997
Kottayam,place,Vadayar,9.7861899,76.4444925
Kottayam,place,Vakathanam,9.5138138,76.5690519
Kottayam,place,Vaikom,9.7216446,76.3926668
Kottayam,place,Vazhappally(E),9.4565191,76.527146
Kottayam,place,Vazhappally(W),9.4565191,76.527146
Kottayam,place,Vazhoor,9.5598518,76.7047904
Kottayam,place,Vechoor,9.6655484,76.4187059
Kottayam,place,Velloor,9.8317239,76.453475
Kottayam,place,Vellavoor,9.4763699,76.7249943
Kottayam,place,Veliyannoor,9.8366222,76.6094997
Kottayam,place,Veloor,9.5915668,76.5221531
Kottayam,place,Vijayapuram,9.5956781,76.536854
Kollam,place,Adichanallur,8.8932118,76.6141396
Kollam,place,Adinad,9.0716014,76.5155834
Kollam,place,Alappad,9.1160093,76.475106
Kollam,place,Alayaman,8.8932118,76.6141396
Kollam,place,Anchal,8.9300191,76.9064744
Kollam,place,Ariyankavu,8.9750633,77.1494408
Kollam,place,Arakkal,8.8972999,76.5955182
Kollam,place,Ayiranelloor,8.9768016,76.9902276
Kollam,place,Ayanivelikulangara,9.0434087,76.5199195
Kollam,place,Chakkuvarakkal,8.9952762,76.8648893
Kollam,place,Chadayamangalam,8.8731236,76.8693936
Kollam,place,Channapetta,8.8891663,76.9556643
Kollam,place,Chavara,8.9908056,76.5404387
Kollam,place,Chirakkara,8.8455841,76.7163359
Kollam,place,Clappana,9.1060705,76.4982375
Kollam,place,East Kallada,9.0077142,76.6499348
Kollam,place,Edamon,9.0062202,76.9815877
Kollam,place,Edamulakkal,8.8896186,76.8513468
Kollam,place,Elamad,8.904058,76.8432663
Kollam,place,Elampallur,8.9565218,76.6708693
Kollam,place,Eroor,8.8932118,76.6141396
Kollam,place,Eravipuram,8.8596135,76.6196097
Kollam,place,Ezhukone,8.9858432,76.7163359
Kollam,place,Ittiva,8.8637638,76.9239727
Kollam,place,Kadakkal,8.8263551,76.9177243
Kollam,place,Kalayapuram,9.0518016,76.7631129
Kollam,place,Karavaloor,8.9799423,76.9268541
Kollam,place,Kareepra,8.9473125,76.7211823
Kollam,place,Kallalibhagom,9.0541404,76.5558635
Kollam,place,Kalluvathukkal,8.8278578,76.7480805
Kollam,place,Karunagappally,9.0597934,76.5355902
Kollam,place,Kilikollur,8.9153419,76.632607
Kollam,place,Kollam East,8.8932118,76.6141396
Kollam,place,Kollam West,8.8908838,76.5837347
Kollam,place,Kottamkara,8.9386583,76.6791916
Kollam,place,Kottappuram,8.8060871,76.669946
Kollam,place,Kottarakkara,9.0055565,76.7831498
Kollam,place,Kottukkal,8.8953204,76.9009191
Kollam,place,Kulakkada,9.0803668,76.7524087
Kollam,place,Kulasekharapuram,9.0855248,76.5292458
Kollam,place,Kummil,8.7990545,76.9239727
Kollam,place,Kunnathur,9.0714346,76.6932438
Kollam,place,Mandrothuruth,8.9952456,76.6105054
Kollam,place,Mangad,8.9149214,76.6210539
Kollam,place,Mankode,8.7894858,76.958545
Kollam,place,Mayyanad,8.8508609,76.649762
Kollam,place,Melila,9.0140785,76.8255369
Kollam,place,Meenad,8.8516474,76.6975739
Kollam,place,Mundakkal,8.8659834,76.6094997
Kollam,place,Mulavana,8.9913233,76.6779618
Kollam,place,Mylam,8.8932118,76.6141396
Kollam,place,Mynagappally,9.0370461,76.5783286
Kollam,place,Nedumpana,8.9081559,76.6946872
Kollam,place,Neduvathur,9.0082866,76.7394237
Kollam,place,Neendakara,8.9443198,76.5401527
Kollam,place,Nilamel,8.8237556,76.88241
Kollam,place,Ochira,9.1255172,76.5097205
Kollam,place,Odanavattom,8.9419439,76.7711626
Kollam,place,Panama,8.8932118,76.6141396
Kollam,place,Panayam,8.9634716,76.6210539
Kollam,place,Pallimon,8.9007957,76.7148927
Kollam,place,Paravoor,8.814189,76.6672602
Kollam,place,Pathanapuram,9.0926916,76.861241
Kollam,place,Pattazhy,9.0752452,76.7971247
Kollam,place,Pattazhy Vadakkekkara,9.0972998,76.8086617
Kollam,place,Perayam,8.8932118,76.6141396
Kollam,place,Perinad,8.943007,76.6080162
Kollam,place,Pidavoor,9.0761533,76.8591235
Kollam,place,Piravanthoor,9.0653964,76.8980371
Kollam,place,Pooyappally,8.9074066,76.7626876
Kollam,place,Poothakulam,8.8039579,76.7011822
Kollam,place,Poruvazhi,9.0917777,76.6585978
Kollam,place,Pavumba,9.1000156,76.5892774
Kollam,place,Pavithreswaram,9.0241031,76.6894046
Kollam,place,Punalur,9.0176117,76.9260936
Kollam,place,Punnala,9.0820415,76.9095647
Kollam,place,Puthur,9.0424535,76.7134496
Kollam,place,Shakthikulangara,8.9230166,76.5527249
Kollam,place,Sooranad North,9.1121172,76.6239423
Kollam,place,Sooranad South,9.0792558,76.6123884
Kollam,place,Sasthamkotta,9.0364612,76.6239423
Kollam,place,Thekkumbhagam,8.9667472,76.5632726
Kollam,place,Thevalakkara,9.0035823,76.5749929
Kollam,place,Thalavoor,9.0496823,76.8374995
Kollam,place,Thazhava,9.0987228,76.5546031
Kollam,place,Thazhuthala,8.8826113,76.6719149
Kollam,place,Thinkalkarikkom,8.9151102,77.0406147
Kollam,place,Thodiyoor,9.0779685,76.5777203
Kollam,place,Thrikkadavoor,8.9185472,76.5969274
Kollam,place,Thrikkaruva,8.9452828,76.5939721
Kollam,place,Thrikkovilvattom,8.9068205,76.6670905
Kollam,place,Ummannur,8.9382087,76.8173138
Kollam,place,Valakom,8.9566364,76.8418246
Kollam,place,Valakkode,8.8932118,76.6141396
Kollam,place,Vadakkevila,8.8788955,76.631163
Kollam,place,Vadakumthala,9.0362755,76.5459331
Kollam,place,Velinallur,8.868527,76.7841051
Kollam,place,Veliyam,8.9161545,76.766835
Kollam,place,Vettikkavala,8.9966247,76.8274071
Kollam,place,Vilakudy,9.0298875,76.8648869
Ernakulam,place,Ayyampuzha,10.2279419,76.6181655
Ernakulam,place,Arakuzha,9.9277566,76.6022778
Ernakulam,place,Arakkappadi,10.0598671,76.4592007
Ernakulam,place,Ashamannur,9.9816358,76.2998842
Ernakulam,place,Chellanam,9.8393572,76.2739795
Ernakulam,place,Cheranellur,10.0615189,76.2886043
Ernakulam,place,Chendamangalam,10.1741266,76.2327035
Ernakulam,place,Chovvara,10.1282593,76.3731527
Ernakulam,place,Chelamattam,10.1453531,76.4606948
Ernakulam,place,Choornikara,10.0807284,76.3379957
Ernakulam,place,Edakochi,9.9163994,76.291355
Ernakulam,place,Edakkattuvayal,9.8677977,76.4360623
Ernakulam,place,Edappally North,10.0367045,76.3068281
Ernakulam,place,Edappally South,10.0044093,76.3141646
Ernakulam,place,Elamkulam,9.9717315,76.3013871
Ernakulam,place,Elankunnappuzha,10.0268019,76.223288
Ernakulam,place,Elanji,9.831884,76.5455658
Ernakulam,place,Eramallur,9.8234702,76.3111052
Ernakulam,place,Ezhikkara,10.1053218,76.2392217
Ernakulam,place,Fort Kochi,9.9657787,76.2421147
Ernakulam,place,Irapuram,10.0378863,76.5164694
Ernakulam,place,Iykaranadu North,10.0059265,76.4615098
Ernakulam,place,Iykaranadu South,9.9671744,76.4587113
Ernakulam,place,Kadungallur,10.1089856,76.3260992
Ernakulam,place,Kadamakkudi,10.0540229,76.2537052
Ernakulam,place,Kakkanad,10.0158605,76.3418666
Ernakulam,place,Kaladi,10.1710193,76.4468254
Ernakulam,place,Kammattipadam,9.9774098,76.2912377
Ernakulam,place,Kanayannur,10.0024153,76.3062488
Ernakulam,place,Karimalur,9.9816358,76.2998842
Ernakulam,place,Karukutti,10.2269766,76.3748733
Ernakulam,place,Kedavoor,10.001008,76.741588
Ernakulam,place,Keecheri,9.8354432,76.4114733
Ernakulam,place,Keezhmad,10.1047598,76.3883265
Ernakulam,place,Kizhakkambalam,10.0372719,76.4085802
Ernakulam,place,Kizhakumbhagam,9.9816358,76.2998842
Ernakulam,place,Kodanad,10.1826428,76.5170288
Ernakulam,place,Kombanadu,10.1642074,76.5509907
Ernakulam,place,Kothamangalam,10.0602601,76.6351831
Ernakulam,place,Kottappady,10.1198255,76.5863882
Ernakulam,place,Kudamaloor,9.9816358,76.2998842
Ernakulam,place,Kulayettikkara,9.8324032,76.4346841
Ernakulam,place,Kumbalam,9.9021698,76.3103929
Ernakulam,place,Kumbalanji,9.8760584,76.2870781
Ernakulam,place,Kunnathunad,10.0153179,76.4050152
Ernakulam,place,Kureekad,9.9273492,76.3751864
Ernakulam,place,Kuvappadi,10.1562109,76.4834579
Ernakulam,place,Kuzhuppilly,10.1693969,76.1711283
Ernakulam,place,Malayattur,10.1954877,76.4967919
Ernakulam,place,Manakkunnam,9.8981864,76.3692496
Ernakulam,place,Manjapra,10.2073598,76.4534165
Ernakulam,place,Maradu,9.9367552,76.3180429
Ernakulam,place,Marambilli,10.1125168,76.4196002
Ernakulam,place,Marady,9.9493859,76.5632726
Ernakulam,place,Mattancheri,9.9578326,76.2555324
Ernakulam,place,Mattur,10.170628,76.4296056
Ernakulam,place,Mazhuvannur,10.009494,76.4967919
Ernakulam,place,Mulanthuruthi,9.9003047,76.3844271
Ernakulam,place,Mulavoor,10.0280693,76.5902872
Ernakulam,place,Mookkannur,10.2218391,76.4071336
Ernakulam,place,Muthakunnam,10.190175,76.2002014
Ernakulam,place,Nadama,9.9816358,76.2998842
Ernakulam,place,Nedumbasseri,10.1679454,76.3978481
Ernakulam,place,Neriamangalam,10.0509836,76.7769324
Ernakulam,place,Njarakkal,10.0416362,76.2189421
Ernakulam,place,Pallarimangalam,10.0291719,76.6773655
Ernakulam,place,Pallippuram,10.1629951,76.181272
Ernakulam,place,Palakkuzha,9.8855017,76.6037222
Ernakulam,place,Pindimana,10.1050707,76.6268306
Ernakulam,place,Piravom,9.8730715,76.4919511
Ernakulam,place,Poonithura,9.9385943,76.3333364
Ernakulam,place,Pothanikkad,10.0072983,76.6773655
Ernakulam,place,Puthencruz,9.9773705,76.4115587
Ernakulam,place,Puthenvellikkara,9.9816358,76.2998842
Ernakulam,place,Rayamangalam,10.0973107,76.5203191
Ernakulam,place,Rameswaram,9.9816358,76.2998842
Ernakulam,place,Thiruvankulam,9.9434482,76.3737439
Ernakulam,place,Thirumarady,9.8888602,76.5517132
Ernakulam,place,Thoppumpadi,9.9355961,76.2583277
Ernakulam,place,Thuravur,10.2006676,76.4244916
Ernakulam,place,Vadakkekara,10.158763,76.21025
Ernakulam,place,Vadavukode,9.9840314,76.425523
Ernakulam,place,Valakam,9.9790854,76.5213648
Ernakulam,place,Vazhakkala,10.0209316,76.3345074
Ernakulam,place,Vazhakkulam,9.9469576,76.6358997
Ernakulam,place,Vengola,10.0793635,76.4678766
Ernakulam,place,Vengur West,10.1417034,76.5199195
Ernakulam,place,Vengoor East,10.1413448,76.5495397
Ernakulam,place,Vellurkunnam,10.0047378,76.5473781
Ernakulam,place,Vengola,10.0793635,76.4678766
Idukki,place,Ayyappancoil,9.6900155,77.0446627
Idukki,place,Baisonvally,10.0061966,77.1132792
Idukki,place,Chakkupallam,9.6781671,77.1091984
Idukki,place,Chathurangapara,9.8986158,77.2146478
Idukki,place,Chinnakanal,10.0367695,77.1772737
Idukki,place,Elappally,9.7722283,76.8432663
Idukki,place,Elappara,9.6353972,76.9789293
Idukki,place,Idukki,9.8583987,76.9527836
Idukki,place,Karikkode,9.8866966,76.7316003
Idukki,place,Karimannoor,9.9186293,76.7813133
Idukki,place,Karimkunnam,9.8559949,76.6845832
Idukki,place,Kattappana,9.7557212,77.1153963
Idukki,place,Keezhanthoor,10.2848146,77.2060241
Idukki,place,Kodikulam,9.966347,76.7428512
Idukki,place,Konnathady,9.9494737,77.0449327
Idukki,place,Kottakamboor,10.2027421,77.2573979
Idukki,place,Kudayathoor,9.8254096,76.7906347
Idukki,place,Kumaramangalam,9.9419127,76.7163359
Idukki,place,Kumily,9.6037025,77.1675208
Idukki,place,Kunjithanny,10.0129766,77.0593246
Idukki,place,Marayoor,10.2761663,77.161458
Idukki,place,Mankulam,10.117255,76.9268541
Idukki,place,Mannamkandam,10.0443081,76.8810488
Idukki,place,Munnar,10.0889333,77.0595248
Idukki,place,Muttom,9.8419181,76.7423094
Idukki,place,Neyyasseri,9.9346691,76.7744101
Idukki,place,Pallivasal,10.0436622,77.0737149
Idukki,place,Pampadumpara,9.7967016,77.1585822
Idukki,place,Parathodu,9.9400492,77.0312587
Idukki,place,Peerumade,9.578297,77.015369
Idukki,place,Periyar,9.6031088,77.161458
Idukki,place,Peruvanthanam,9.5578173,76.9354979
Idukki,place,Poopara,9.9802667,77.2031493
Idukki,place,Purapuzha,9.8716775,76.6672602
Idukki,place,Rajakkad,9.9652906,77.099613
Idukki,place,Rajakumari,9.9734527,77.1686472
Idukki,place,Santhanpara,9.9590342,77.2203966
Idukki,place,Thankamony,9.8411066,77.0348573
Idukki,place,Thodupuzha,9.8959339,76.7184061
Idukki,place,Udumbanchola,9.8972883,77.180149
Idukki,place,Udumbannoor,9.9023471,76.8201976
Idukki,place,Upputhara,9.6969374,77.0208223
Idukki,place,Upputhode,9.8798849,77.0132643
Idukki,place,Vagamon,9.6861814,76.9052294
Idukki,place,Vandanmedu,9.729646,77.1542684
Idukki,place,Vannapuram,9.9963999,76.7837231
Idukki,place,Vathikudy,9.9000276,77.0391754
Idukki,place,Vattavada,10.1777275,77.2537808
Idukki,place,Vellathuval,9.978776,77.024781
Thiruvananthapuram,place,Aakkulam,8.5334906,76.9047438
Thiruvananthapuram,place,Adimalathura,8.3548795,77.0204624
Thiruvananthapuram,place,Akathumuri,8.7030243,76.7581794
